countyfips,buyer_county,buyer_state,average_population_per_year
13005,BACON,GA,10896
13007,BAKER,GA,3679
13009,BALDWIN,GA,46798
13011,BANKS,GA,17590
13013,BARROW,GA,66219
13015,BARTOW,GA,96543
13017,BEN HILL,GA,17622
13019,BERRIEN,GA,18400
13021,BIBB,GA,154824
13023,BLECKLEY,GA,12883
13025,BRANTLEY,GA,17285
13027,BROOKS,GA,16300
13029,BRYAN,GA,29205
13031,BULLOCH,GA,67171
13033,BURKE,GA,23039
13035,BUTTS,GA,23412
13037,CALHOUN,GA,6404
13039,CAMDEN,GA,48919
13043,CANDLER,GA,10665
13045,CARROLL,GA,109422
13047,CATOOSA,GA,62829
13049,CHARLTON,GA,12204
13051,CHATHAM,GA,255188
13053,CHATTAHOOCHEE,GA,12155
13055,CHATTOOGA,GA,26057
13057,CHEROKEE,GA,205415
13059,CLARKE,GA,114845
13061,CLAY,GA,3176
13063,CLAYTON,GA,262246
13065,CLINCH,GA,6869
13067,COBB,GA,679470
13069,COFFEE,GA,41481
13071,COLQUITT,GA,44677
13073,COLUMBIA,GA,116471
13075,COOK,GA,16869
13077,COWETA,GA,120879
13079,CRAWFORD,GA,12798
13081,CRISP,GA,23027
13083,DADE,GA,16514
13085,DAWSON,GA,21654
13087,DECATUR,GA,27978
13089,DEKALB,GA,692343
13091,DODGE,GA,21112
13093,DOOLY,GA,13812
13095,DOUGHERTY,GA,94622
13097,DOUGLAS,GA,126863
13099,EARLY,GA,11354
13101,ECHOLS,GA,3996
13103,EFFINGHAM,GA,50396
13105,ELBERT,GA,20433
13107,EMANUEL,GA,22375
13109,EVANS,GA,11022
13111,FANNIN,GA,23173
13113,FAYETTE,GA,105364
13115,FLOYD,GA,95661
13117,FORSYTH,GA,162859
13119,FRANKLIN,GA,22057
13121,FULTON,GA,902097
13123,GILMER,GA,28110
13125,GLASCOCK,GA,2966
13127,GLYNN,GA,77128
13129,GORDON,GA,53699
13131,GRADY,GA,24751
13133,GREENE,GA,15810
13135,GWINNETT,GA,776507
13137,HABERSHAM,GA,42116
13139,HALL,GA,175436
13141,HANCOCK,GA,9640
13143,HARALSON,GA,28538
13145,HARRIS,GA,30476
13147,HART,GA,24902
13149,HEARD,GA,11662
13151,HENRY,GA,191810
13153,HOUSTON,GA,134378
13155,IRWIN,GA,9743
13157,JACKSON,GA,58291
13159,JASPER,GA,13654
13161,JEFF DAVIS,GA,14348
13163,JEFFERSON,GA,16820
13165,JENKINS,GA,8435
13167,JOHNSON,GA,9865
13169,JONES,GA,28113
13171,LAMAR,GA,17664
13173,LANIER,GA,9185
13175,LAURENS,GA,47871
13177,LEE,GA,28690
13179,LIBERTY,GA,63317
13181,LINCOLN,GA,8096
13183,LONG,GA,12863
13185,LOWNDES,GA,104503
13187,LUMPKIN,GA,28487
13189,MCDUFFIE,GA,21675
13191,MCINTOSH,GA,13402
13193,MACON,GA,14332
13195,MADISON,GA,27750
13197,MARION,GA,8183
13199,MERIWETHER,GA,22471
13201,MILLER,GA,6131
13205,MITCHELL,GA,23726
13207,MONROE,GA,25684
13209,MONTGOMERY,GA,9099
13211,MORGAN,GA,17797
13213,MURRAY,GA,40011
13215,MUSCOGEE,GA,187875
13217,NEWTON,GA,96344
13219,OCONEE,GA,31452
13221,OGLETHORPE,GA,14427
13223,PAULDING,GA,133206
13225,PEACH,GA,26712
13227,PICKENS,GA,29260
13229,PIERCE,GA,18110
13231,PIKE,GA,17323
13233,POLK,GA,41094
13235,PULASKI,GA,11316
13237,PUTNAM,GA,20804
13239,QUITMAN,GA,2547
13241,RABUN,GA,16298
13243,RANDOLPH,GA,7635
13245,RICHMOND,GA,198149
13247,ROCKDALE,GA,82786
13249,SCHLEY,GA,4649
13251,SCREVEN,GA,14820
13253,SEMINOLE,GA,8851
13255,SPALDING,GA,63196
13257,STEPHENS,GA,25757
13259,STEWART,GA,5640
13261,SUMTER,GA,32752
13263,TALBOT,GA,6850
13265,TALIAFERRO,GA,1843
13267,TATTNALL,GA,23997
13269,TAYLOR,GA,8805
13271,TELFAIR,GA,15607
13273,TERRELL,GA,9746
13275,THOMAS,GA,44550
13277,TIFT,GA,40203
13279,TOOMBS,GA,27239
13281,TOWNS,GA,10485
13283,TREUTLEN,GA,6833
13285,TROUP,GA,65326
13287,TURNER,GA,9068
13289,TWIGGS,GA,9504
13291,UNION,GA,21011
13293,UPSON,GA,27314
13295,WALKER,GA,67261
13297,WALTON,GA,81515
13299,WARE,GA,35950
13301,WARREN,GA,5921
13303,WASHINGTON,GA,21021
13305,WAYNE,GA,29599
13307,WEBSTER,GA,2648
13309,WHEELER,GA,7104
13311,WHITE,GA,26222
13313,WHITFIELD,GA,98742
13315,WILCOX,GA,8974
13317,WILKES,GA,10499
13319,WILKINSON,GA,9737
13321,WORTH,GA,21669
15001,HAWAII,HI,179129
15003,HONOLULU,HI,932146
15007,KAUAI,HI,65067
15009,MAUI,HI,149394
16001,ADA,ID,379161
16003,ADAMS,ID,3882
16005,BANNOCK,ID,80554
16007,BEAR LAKE,ID,6003
16009,BENEWAH,ID,9290
16011,BINGHAM,ID,44296
16013,BLAINE,ID,21358
16015,BOISE,ID,7175
16017,BONNER,ID,40725
16019,BONNEVILLE,ID,99501
16021,BOUNDARY,ID,10765
16023,BUTTE,ID,2822
16025,CAMAS,ID,1152
16027,CANYON,ID,181770
16029,CARIBOU,ID,6879
16031,CASSIA,ID,21936
16033,CLARK,ID,906
16035,CLEARWATER,ID,8674
16037,CUSTER,ID,4245
16039,ELMORE,ID,26902
16041,FRANKLIN,ID,12441
16043,FREMONT,ID,12963
16045,GEM,ID,16727
16047,GOODING,ID,15000
16049,IDAHO,ID,15837
16051,JEFFERSON,ID,24179
16053,JEROME,ID,21037
16055,KOOTENAI,ID,134646
16057,LATAH,ID,36772
16059,LEMHI,ID,7849
16061,LEWIS,ID,3738
16063,LINCOLN,ID,4938
16065,MADISON,ID,36450
16067,MINIDOKA,ID,19371
16069,NEZ PERCE,ID,38848
16071,ONEIDA,ID,4191
16073,OWYHEE,ID,11314
16075,PAYETTE,ID,22452
16077,POWER,ID,7624
16079,SHOSHONE,ID,12907
16081,TETON,ID,9208
16083,TWIN FALLS,ID,74516
16085,VALLEY,ID,9665
16087,WASHINGTON,ID,10080
17001,ADAMS,IL,67008
17003,ALEXANDER,IL,8415
17005,BOND,IL,17955
17007,BOONE,IL,53387
17009,BROWN,IL,6843
17011,BUREAU,IL,35008
17013,CALHOUN,IL,5110
17015,CARROLL,IL,15649
17017,CASS,IL,13629
17019,CHAMPAIGN,IL,196916
17021,CHRISTIAN,IL,34895
17023,CLARK,IL,16586
17025,CLAY,IL,13908
17027,CLINTON,IL,37240
17029,COLES,IL,53341
17031,COOK,IL,5184579
17033,CRAWFORD,IL,19817
17035,CUMBERLAND,IL,11039
17037,DEKALB,IL,103942
17039,DEWITT,IL,16632
17041,DOUGLAS,IL,19922
17043,DUPAGE,IL,913679
17045,EDGAR,IL,18769
17047,EDWARDS,IL,6678
17049,EFFINGHAM,IL,34243
17051,FAYETTE,IL,21854
17053,FORD,IL,14088
17055,FRANKLIN,IL,39495
17057,FULTON,IL,37151
17059,GALLATIN,IL,5804
17061,GREENE,IL,13944
17063,GRUNDY,IL,48352
17065,HAMILTON,IL,8411
17067,HANCOCK,IL,19161
17069,HARDIN,IL,4414
17071,HENDERSON,IL,7473
17073,HENRY,IL,50322
17075,IROQUOIS,IL,30070
17077,JACKSON,IL,59654
17079,JASPER,IL,9744
17081,JEFFERSON,IL,39348
17083,JERSEY,IL,22845
17085,JO DAVIESS,IL,22652
17087,JOHNSON,IL,12862
17089,KANE,IL,500983
17091,KANKAKEE,IL,111900
17093,KENDALL,IL,103554
17095,KNOX,IL,52788
17097,LAKE,IL,697385
17099,LA SALLE,IL,113534
17101,LAWRENCE,IL,16807
17103,LEE,IL,35893
17105,LIVINGSTON,IL,38855
17107,LOGAN,IL,30369
17109,MCDONOUGH,IL,32758
17111,MCHENRY,IL,306839
17113,MCLEAN,IL,166184
17115,MACON,IL,110415
17117,MACOUPIN,IL,48026
17119,MADISON,IL,267675
17121,MARION,IL,39692
17123,MARSHALL,IL,12767
17125,MASON,IL,14945
17127,MASSAC,IL,15370
17129,MENARD,IL,12674
17131,MERCER,IL,16543
17133,MONROE,IL,32411
17135,MONTGOMERY,IL,30152
17137,MORGAN,IL,35705
17139,MOULTRIE,IL,14665
17141,OGLE,IL,53731
17143,PEORIA,IL,184723
17145,PERRY,IL,22492
17147,PIATT,IL,16665
17149,PIKE,IL,16579
17151,POPE,IL,4363
17153,PULASKI,IL,6282
17155,PUTNAM,IL,5975
17157,RANDOLPH,IL,33449
17159,RICHLAND,IL,16076
17161,ROCK ISLAND,IL,147410
17163,SAINT CLAIR,IL,265669
17165,SALINE,IL,25305
17167,SANGAMON,IL,195091
17169,SCHUYLER,IL,7438
17171,SCOTT,IL,5348
17173,SHELBY,IL,22279
17175,STARK,IL,6076
17177,STEPHENSON,IL,47627
17179,TAZEWELL,IL,133331
17181,UNION,IL,17976
17183,VERMILION,IL,81875
17185,WABASH,IL,12152
17187,WARREN,IL,17727
17189,WASHINGTON,IL,14822
17191,WAYNE,IL,16800
17193,WHITE,IL,14802
17195,WHITESIDE,IL,58781
17197,WILL,IL,667199
17199,WILLIAMSON,IL,65350
17201,WINNEBAGO,IL,294032
17203,WOODFORD,IL,38176
18001,ADAMS,IN,34112
18003,ALLEN,IN,350964
18005,BARTHOLOMEW,IN,75746
18007,BENTON,IN,8807
18009,BLACKFORD,IN,13002
18011,BOONE,IN,54637
18013,BROWN,IN,15183
18015,CARROLL,IN,20089
18017,CASS,IN,39075
18019,CLARK,IN,106979
18021,CLAY,IN,26951
18023,CLINTON,IN,33371
18025,CRAWFORD,IN,10830
18027,DAVIESS,IN,30903
18029,DEARBORN,IN,49541
18031,DECATUR,IN,25523
18033,DE KALB,IN,41941
18035,DELAWARE,IN,117047
18037,DUBOIS,IN,41745
18039,ELKHART,IN,197092
18041,FAYETTE,IN,24361
18043,FLOYD,IN,73478
18045,FOUNTAIN,IN,17301
18047,FRANKLIN,IN,23184
18049,FULTON,IN,20607
18051,GIBSON,IN,33302
18053,GRANT,IN,70004
18055,GREENE,IN,33009
18057,HAMILTON,IN,261140
18059,HANCOCK,IN,67604
18061,HARRISON,IN,38308
18063,HENDRICKS,IN,139048
18065,HENRY,IN,48673
18067,HOWARD,IN,83454
18069,HUNTINGTON,IN,37413
18071,JACKSON,IN,41960
18073,JASPER,IN,32906
18075,JAY,IN,21438
18077,JEFFERSON,IN,32416
18079,JENNINGS,IN,28377
18081,JOHNSON,IN,135959
18083,KNOX,IN,38351
18085,KOSCIUSKO,IN,76837
18087,LAGRANGE,IN,37002
18089,LAKE,IN,493777
18091,LA PORTE,IN,110773
18093,LAWRENCE,IN,46159
18095,MADISON,IN,131304
18097,MARION,IN,889074
18099,MARSHALL,IN,46911
18101,MARTIN,IN,10285
18103,MIAMI,IN,37193
18105,MONROE,IN,133459
18107,MONTGOMERY,IN,38116
18109,MORGAN,IN,68912
18111,NEWTON,IN,14256
18113,NOBLE,IN,47537
18115,OHIO,IN,6027
18117,ORANGE,IN,19777
18119,OWEN,IN,21833
18121,PARKE,IN,17346
18123,PERRY,IN,19267
18125,PIKE,IN,12902
18127,PORTER,IN,161694
18129,POSEY,IN,26116
18131,PULASKI,IN,13620
18133,PUTNAM,IN,37914
18135,RANDOLPH,IN,26203
18137,RIPLEY,IN,28375
18139,RUSH,IN,17549
18141,ST JOSEPH,IN,266467
18143,SCOTT,IN,24017
18145,SHELBY,IN,44174
18147,SPENCER,IN,20865
18149,STARKE,IN,23338
18151,STEUBEN,IN,33991
18153,SULLIVAN,IN,21478
18155,SWITZERLAND,IN,10260
18157,TIPPECANOE,IN,167674
18159,TIPTON,IN,16121
18161,UNION,IN,7400
18163,VANDERBURGH,IN,177729
18165,VERMILLION,IN,16402
18167,VIGO,IN,106890
18169,WABASH,IN,33188
18171,WARREN,IN,8562
18173,WARRICK,IN,58163
18175,WASHINGTON,IN,28155
18177,WAYNE,IN,69032
18179,WELLS,IN,27760
18181,WHITE,IN,24623
18183,WHITLEY,IN,32911
19001,ADAIR,IA,7743
19003,ADAMS,IA,4126
19005,ALLAMAKEE,IA,14341
19007,APPANOOSE,IA,13023
19009,AUDUBON,IA,6176
19011,BENTON,IA,26166
19013,BLACK HAWK,IA,128853
19015,BOONE,IA,26404
19017,BREMER,IA,24095
19019,BUCHANAN,IA,21018
19021,BUENA VISTA,IA,19915
19023,BUTLER,IA,14873
19025,CALHOUN,IA,9912
19027,CARROLL,IA,20796
19029,CASS,IA,13937
19031,CEDAR,IA,18341
19033,CERRO GORDO,IA,44260
19035,CHEROKEE,IA,12031
19037,CHICKASAW,IA,12450
19039,CLARKE,IA,9198
19041,CLAY,IA,16707
19043,CLAYTON,IA,18116
19045,CLINTON,IA,49256
19047,CRAWFORD,IA,16892
19049,DALLAS,IA,61096
19051,DAVIS,IA,8664
19053,DECATUR,IA,8466
19055,DELAWARE,IA,17801
19057,DES MOINES,IA,40303
19059,DICKINSON,IA,16680
19061,DUBUQUE,IA,92500
19063,EMMET,IA,10376
19065,FAYETTE,IA,20927
19067,FLOYD,IA,16352
19069,FRANKLIN,IA,10685
19071,FREMONT,IA,7517
19073,GREENE,IA,9457
19075,GRUNDY,IA,12360
19077,GUTHRIE,IA,11040
19079,HAMILTON,IA,15827
19081,HANCOCK,IA,11488
19083,HARDIN,IA,17660
19085,HARRISON,IA,15108
19087,HENRY,IA,20262
19089,HOWARD,IA,9597
19091,HUMBOLDT,IA,9873
19093,IDA,IA,7155
19095,IOWA,IA,16270
19097,JACKSON,IA,19936
19099,JASPER,IA,36991
19101,JEFFERSON,IA,16466
19103,JOHNSON,IA,126781
19105,JONES,IA,20684
19107,KEOKUK,IA,10625
19109,KOSSUTH,IA,15712
19111,LEE,IA,35943
19113,LINN,IA,207399
19115,LOUISA,IA,11713
19117,LUCAS,IA,9173
19119,LYON,IA,11532
19121,MADISON,IA,15451
19123,MAHASKA,IA,22359
19125,MARION,IA,33283
19127,MARSHALL,IA,39974
19129,MILLS,IA,15145
19131,MITCHELL,IA,10801
19133,MONONA,IA,9322
19135,MONROE,IA,7879
19137,MONTGOMERY,IA,10908
19139,MUSCATINE,IA,42471
19141,OBRIEN,IA,14349
19143,OSCEOLA,IA,6559
19145,PAGE,IA,16064
19147,PALO ALTO,IA,9492
19149,PLYMOUTH,IA,24840
19151,POCAHONTAS,IA,7524
19153,POLK,IA,418736
19155,POTTAWATTAMIE,IA,91528
19157,POWESHIEK,IA,18950
19159,RINGGOLD,IA,5157
19161,SAC,IA,10457
19163,SCOTT,IA,162254
19165,SHELBY,IA,12323
19167,SIOUX,IA,33194
19169,STORY,IA,87114
19171,TAMA,IA,17917
19173,TAYLOR,IA,6405
19175,UNION,IA,12353
19177,VAN BUREN,IA,7648
19179,WAPELLO,IA,35511
19181,WARREN,IA,45162
19183,WASHINGTON,IA,21571
19185,WAYNE,IA,6386
19187,WEBSTER,IA,38278
19189,WINNEBAGO,IA,10934
19191,WINNESHIEK,IA,20990
19193,WOODBURY,IA,101227
19195,WORTH,IA,7624
19197,WRIGHT,IA,13333
20001,ALLEN,KS,13465
