countyfips,buyer_county,buyer_state,average_pills_per_year
05045,FAULKNER,AR,3474480
05047,FRANKLIN,AR,947446
05049,FULTON,AR,777109
05051,GARLAND,AR,6262350
05053,GRANT,AR,561151
05055,GREENE,AR,2651537
05057,HEMPSTEAD,AR,1031306
05059,HOT SPRING,AR,1103784
05061,HOWARD,AR,690954
05063,INDEPENDENCE,AR,2216687
05065,IZARD,AR,1155846
05067,JACKSON,AR,811697
05069,JEFFERSON,AR,1965710
05071,JOHNSON,AR,1216610
05073,LAFAYETTE,AR,236791
05075,LAWRENCE,AR,835734
05077,LEE,AR,197653
05079,LINCOLN,AR,204933
05081,LITTLE RIVER,AR,642956
05083,LOGAN,AR,1064403
05085,LONOKE,AR,2278399
05087,MADISON,AR,503717
05089,MARION,AR,699464
05091,MILLER,AR,2213341
05093,MISSISSIPPI,AR,2215381
05095,MONROE,AR,218173
05099,NEVADA,AR,246951
05101,NEWTON,AR,121626
05103,OUACHITA,AR,1289717
05105,PERRY,AR,309899
05107,PHILLIPS,AR,1400127
05109,PIKE,AR,838561
05111,POINSETT,AR,1447040
05113,POLK,AR,1167869
05115,POPE,AR,2382061
05117,PRAIRIE,AR,213673
05119,PULASKI,AR,16043072
05121,RANDOLPH,AR,558387
05123,SAINT FRANCIS,AR,706184
05125,SALINE,AR,4164641
05127,SCOTT,AR,739979
05129,SEARCY,AR,267793
05131,SEBASTIAN,AR,9122883
05133,SEVIER,AR,750749
05135,SHARP,AR,851703
05137,STONE,AR,644844
05139,UNION,AR,2114316
05141,VAN BUREN,AR,675754
05143,WASHINGTON,AR,7166553
05145,WHITE,AR,2889139
05147,WOODRUFF,AR,430612
05149,YELL,AR,937856
06001,ALAMEDA,CA,88217886
06003,ALPINE,CA,1317
06005,AMADOR,CA,2587066
06007,BUTTE,CA,18062611
06009,CALAVERAS,CA,2756463
06011,COLUSA,CA,786113
06013,CONTRA COSTA,CA,32624213
06015,DEL NORTE,CA,2289029
06017,EL DORADO,CA,7797783
06019,FRESNO,CA,31032194
06021,GLENN,CA,1545946
06023,HUMBOLDT,CA,10094280
06025,IMPERIAL,CA,3412459
06027,INYO,CA,816580
06029,KERN,CA,27931147
06031,KINGS,CA,4947808
06033,LAKE,CA,6260994
06035,LASSEN,CA,2696101
06037,LOS ANGELES,CA,214178995
06039,MADERA,CA,4243745
06041,MARIN,CA,7728684
06043,MARIPOSA,CA,519807
06045,MENDOCINO,CA,5535988
06047,MERCED,CA,8173238
06049,MODOC,CA,669634
06051,MONO,CA,240669
06053,MONTEREY,CA,11826832
06055,NAPA,CA,4418925
06057,NEVADA,CA,5188460
06059,ORANGE,CA,72583220
06061,PLACER,CA,18000957
06063,PLUMAS,CA,1577490
06065,RIVERSIDE,CA,64851865
06067,SACRAMENTO,CA,63294739
06069,SAN BENITO,CA,1206994
06071,SAN BERNARDINO,CA,62025445
06073,SAN DIEGO,CA,86880621
06075,SAN FRANCISCO,CA,18240587
06077,SAN JOAQUIN,CA,26865156
06079,SAN LUIS OBISPO,CA,10986691
06081,SAN MATEO,CA,15644280
06083,SANTA BARBARA,CA,14181829
06085,SANTA CLARA,CA,28982649
06087,SANTA CRUZ,CA,9276465
06089,SHASTA,CA,16763123
06091,SIERRA,CA,100437
06093,SISKIYOU,CA,2909235
06095,SOLANO,CA,14895147
06097,SONOMA,CA,18490892
06099,STANISLAUS,CA,31146910
06101,SUTTER,CA,6457145
06103,TEHAMA,CA,4197711
06105,TRINITY,CA,1044254
06107,TULARE,CA,16271616
06109,TUOLUMNE,CA,4735141
06111,VENTURA,CA,22634814
06113,YOLO,CA,5985964
06115,YUBA,CA,4223761
08001,ADAMS,CO,10978374
08003,ALAMOSA,CO,1353830
08005,ARAPAHOE,CO,14283698
08007,ARCHULETA,CO,212189
08009,BACA,CO,79557
08011,BENT,CO,156980
08013,BOULDER,CO,7445823
08014,BROOMFIELD,CO,2165523
08015,CHAFFEE,CO,796696
08017,CHEYENNE,CO,44357
08019,CLEAR CREEK,CO,217609
08021,CONEJOS,CO,281130
08025,CROWLEY,CO,181543
08027,CUSTER,CO,783
08029,DELTA,CO,1402110
08031,DENVER,CO,10949077
08035,DOUGLAS,CO,5579685
08037,EAGLE,CO,1320190
08039,ELBERT,CO,279994
08041,EL PASO,CO,17974322
08043,FREMONT,CO,1973703
08045,GARFIELD,CO,1894912
08047,GILPIN,CO,43999
08049,GRAND,CO,374168
08051,GUNNISON,CO,299118
08053,HINSDALE,CO,1080
08055,HUERFANO,CO,355949
08059,JEFFERSON,CO,20331993
08061,KIOWA,CO,57000
08063,KIT CARSON,CO,134886
08065,LAKE,CO,212900
08067,LA PLATA,CO,1288878
08069,LARIMER,CO,9124025
08071,LAS ANIMAS,CO,757680
08073,LINCOLN,CO,223443
08075,LOGAN,CO,688881
08077,MESA,CO,5344232
08079,MINERAL,CO,100
08081,MOFFAT,CO,560837
08083,MONTEZUMA,CO,1009614
08085,MONTROSE,CO,1341486
08087,MORGAN,CO,837729
08089,OTERO,CO,1258843
08091,OURAY,CO,107577
08093,PARK,CO,118803
08095,PHILLIPS,CO,61171
08097,PITKIN,CO,228260
08099,PROWERS,CO,543259
08101,PUEBLO,CO,10661315
08103,RIO BLANCO,CO,138090
08105,RIO GRANDE,CO,350114
08107,ROUTT,CO,654718
08109,SAGUACHE,CO,614
08111,SAN JUAN,CO,80
08113,SAN MIGUEL,CO,76514
08115,SEDGWICK,CO,91357
08117,SUMMIT,CO,715104
08119,TELLER,CO,1044174
08121,WASHINGTON,CO,41400
08123,WELD,CO,7163911
08125,YUMA,CO,219069
09001,FAIRFIELD,CT,19018843
09003,HARTFORD,CT,22713198
09005,LITCHFIELD,CT,5901074
09007,MIDDLESEX,CT,4808545
09009,NEW HAVEN,CT,28924202
09011,NEW LONDON,CT,8426190
09013,TOLLAND,CT,2933941
09015,WINDHAM,CT,3752741
10001,KENT,DE,6364487
10003,NEW CASTLE,DE,21250488
10005,SUSSEX,DE,11838921
11001,DISTRICT OF COLUMBIA,DC,8312029
12001,ALACHUA,FL,9086877
12003,BAKER,FL,2066337
12005,BAY,FL,9338047
12007,BRADFORD,FL,1594757
12009,BREVARD,FL,26275971
12011,BROWARD,FL,81155241
12013,CALHOUN,FL,373316
12015,CHARLOTTE,FL,8298520
12017,CITRUS,FL,7426578
12019,CLAY,FL,9966351
12021,COLLIER,FL,10002399
12023,COLUMBIA,FL,3926491
12027,DE SOTO,FL,910053
12029,DIXIE,FL,293874
12031,DUVAL,FL,43137524
12033,ESCAMBIA,FL,15474907
12035,FLAGLER,FL,3655724
12037,FRANKLIN,FL,366543
12039,GADSDEN,FL,947531
12041,GILCHRIST,FL,501060
12043,GLADES,FL,125100
12045,GULF,FL,592419
12047,HAMILTON,FL,266463
12049,HARDEE,FL,554694
12051,HENDRY,FL,1422540
12053,HERNANDO,FL,12082513
12055,HIGHLANDS,FL,3113181
12057,HILLSBOROUGH,FL,80732128
12059,HOLMES,FL,733364
12061,INDIAN RIVER,FL,5992692
12063,JACKSON,FL,1762261
12065,JEFFERSON,FL,318700
12067,LAFAYETTE,FL,204287
12069,LAKE,FL,11143344
12071,LEE,FL,25880961
12073,LEON,FL,6868541
12075,LEVY,FL,2434100
12077,LIBERTY,FL,119499
12079,MADISON,FL,454391
12081,MANATEE,FL,16740985
12083,MARION,FL,14946542
12085,MARTIN,FL,5633021
12086,MIAMI-DADE,FL,34521808
12087,MONROE,FL,4398761
12089,NASSAU,FL,4296980
12091,OKALOOSA,FL,6999273
12093,OKEECHOBEE,FL,2225689
12095,ORANGE,FL,41696604
12097,OSCEOLA,FL,8174382
12099,PALM BEACH,FL,55764695
12101,PASCO,FL,27916305
12103,PINELLAS,FL,56406258
12105,POLK,FL,21989039
12107,PUTNAM,FL,5172499
12109,SAINT JOHNS,FL,6204291
12111,SAINT LUCIE,FL,9271267
12113,SANTA ROSA,FL,7738445
12115,SARASOTA,FL,18506298
12117,SEMINOLE,FL,18069361
12119,SUMTER,FL,3011897
12121,SUWANNEE,FL,1480144
12123,TAYLOR,FL,1065187
12125,UNION,FL,407524
12127,VOLUSIA,FL,25864925
12129,WAKULLA,FL,937931
12131,WALTON,FL,3224181
12133,WASHINGTON,FL,1583338
13001,APPLING,GA,792476
13003,ATKINSON,GA,418996
13005,BACON,GA,1124419
13007,BAKER,GA,1300
13009,BALDWIN,GA,1700677
13011,BANKS,GA,507161
13013,BARROW,GA,3092094
13015,BARTOW,GA,4719887
13017,BEN HILL,GA,917396
13019,BERRIEN,GA,706036
13021,BIBB,GA,10802668
13023,BLECKLEY,GA,648556
13025,BRANTLEY,GA,569584
13027,BROOKS,GA,964993
13029,BRYAN,GA,1377036
13031,BULLOCH,GA,1809025
13033,BURKE,GA,513094
13035,BUTTS,GA,997127
13037,CALHOUN,GA,89429
13039,CAMDEN,GA,2240633
13043,CANDLER,GA,447934
13045,CARROLL,GA,6995790
13047,CATOOSA,GA,3660766
13049,CHARLTON,GA,431584
13051,CHATHAM,GA,8445397
13055,CHATTOOGA,GA,1652836
13057,CHEROKEE,GA,6040442
13059,CLARKE,GA,5683151
13061,CLAY,GA,110127
13063,CLAYTON,GA,5300533
13065,CLINCH,GA,499041
13067,COBB,GA,18665919
13069,COFFEE,GA,3565774
13071,COLQUITT,GA,1293771
13073,COLUMBIA,GA,3697443
13075,COOK,GA,619067
13077,COWETA,GA,3719819
13079,CRAWFORD,GA,136263
13081,CRISP,GA,1037533
13083,DADE,GA,819044
13085,DAWSON,GA,1165393
13087,DECATUR,GA,1100194
13089,DEKALB,GA,10965533
13091,DODGE,GA,1135286
13093,DOOLY,GA,122356
13095,DOUGHERTY,GA,2813474
13097,DOUGLAS,GA,5223706
13099,EARLY,GA,250776
13103,EFFINGHAM,GA,1370016
13105,ELBERT,GA,1290844
13107,EMANUEL,GA,1084806
13109,EVANS,GA,779964
13111,FANNIN,GA,1552006
13113,FAYETTE,GA,3055382
13115,FLOYD,GA,7208788
13117,FORSYTH,GA,3880289
13119,FRANKLIN,GA,2255741
13121,FULTON,GA,18931358
13123,GILMER,GA,1569833
13125,GLASCOCK,GA,300
13127,GLYNN,GA,3659572
13129,GORDON,GA,2296599
13131,GRADY,GA,614561
13133,GREENE,GA,828233
13135,GWINNETT,GA,16230314
13137,HABERSHAM,GA,1836839
13139,HALL,GA,6716318
13141,HANCOCK,GA,130251
13143,HARALSON,GA,3188699
13145,HARRIS,GA,130299
13147,HART,GA,1377516
13149,HEARD,GA,223457
13151,HENRY,GA,6053957
13153,HOUSTON,GA,5781291
13155,IRWIN,GA,212581
13157,JACKSON,GA,2865751
13159,JASPER,GA,335983
13161,JEFF DAVIS,GA,745269
13163,JEFFERSON,GA,672035
13165,JENKINS,GA,284354
13167,JOHNSON,GA,216253
13169,JONES,GA,559039
13171,LAMAR,GA,537433
13173,LANIER,GA,266469
13175,LAURENS,GA,2922703
13177,LEE,GA,265651
13179,LIBERTY,GA,1000214
13181,LINCOLN,GA,288307
13183,LONG,GA,109656
13185,LOWNDES,GA,4487098
13187,LUMPKIN,GA,677290
13189,MCDUFFIE,GA,1177791
13191,MCINTOSH,GA,682243
13193,MACON,GA,545610
13195,MADISON,GA,1343289
13197,MARION,GA,81909
13199,MERIWETHER,GA,738027
13201,MILLER,GA,201890
13205,MITCHELL,GA,741029
13207,MONROE,GA,761309
13209,MONTGOMERY,GA,70243
13211,MORGAN,GA,572206
13213,MURRAY,GA,1654741
13215,MUSCOGEE,GA,7953749
13217,NEWTON,GA,2992437
13219,OCONEE,GA,620158
13221,OGLETHORPE,GA,312239
13223,PAULDING,GA,3789314
13225,PEACH,GA,887223
13227,PICKENS,GA,1477783
13229,PIERCE,GA,894256
13231,PIKE,GA,200020
13233,POLK,GA,3490907
13235,PULASKI,GA,951622
13237,PUTNAM,GA,470419
13241,RABUN,GA,1018330
13243,RANDOLPH,GA,163580
13245,RICHMOND,GA,7390235
13247,ROCKDALE,GA,3951964
13249,SCHLEY,GA,60606
13251,SCREVEN,GA,260407
13253,SEMINOLE,GA,472805
13255,SPALDING,GA,3273954
13257,STEPHENS,GA,3060941
13259,STEWART,GA,136426
13261,SUMTER,GA,866877
13263,TALBOT,GA,11700
13267,TATTNALL,GA,1184480
13269,TAYLOR,GA,343690
13271,TELFAIR,GA,965554
13273,TERRELL,GA,156493
13275,THOMAS,GA,1619518
13277,TIFT,GA,1897958
13279,TOOMBS,GA,1753186
13281,TOWNS,GA,463687
13283,TREUTLEN,GA,296389
13285,TROUP,GA,2293825
13287,TURNER,GA,298653
13289,TWIGGS,GA,84876
13291,UNION,GA,976510
13293,UPSON,GA,1398989
13295,WALKER,GA,2653554
13297,WALTON,GA,3818145
13299,WARE,GA,3132590
13301,WARREN,GA,94231
13303,WASHINGTON,GA,634337
13305,WAYNE,GA,1913105
13309,WHEELER,GA,248509
13311,WHITE,GA,1013509
13313,WHITFIELD,GA,4171137
13315,WILCOX,GA,266386
13317,WILKES,GA,466896
13319,WILKINSON,GA,383625
13321,WORTH,GA,535320
15001,HAWAII,HI,7542414
15003,HONOLULU,HI,14703062
15007,KAUAI,HI,2684990
15009,MAUI,HI,6352356
16001,ADA,ID,14296735
16003,ADAMS,ID,1571
16005,BANNOCK,ID,3148417
16007,BEAR LAKE,ID,289997
16009,BENEWAH,ID,481731
16011,BINGHAM,ID,1129699
16013,BLAINE,ID,391826
16015,BOISE,ID,1485
16017,BONNER,ID,1749431
16019,BONNEVILLE,ID,3974820
16021,BOUNDARY,ID,515406
16023,BUTTE,ID,122993
16027,CANYON,ID,5711446
16029,CARIBOU,ID,252580
16031,CASSIA,ID,1176429
16035,CLEARWATER,ID,439619
16037,CUSTER,ID,61057
16039,ELMORE,ID,621677
16041,FRANKLIN,ID,327143
16043,FREMONT,ID,170514
16045,GEM,ID,614143
16047,GOODING,ID,424549
16049,IDAHO,ID,458369
16051,JEFFERSON,ID,300531
16053,JEROME,ID,638223
16055,KOOTENAI,ID,5592441
16057,LATAH,ID,1086001
16059,LEMHI,ID,397343
16061,LEWIS,ID,328377
16063,LINCOLN,ID,198
16065,MADISON,ID,644134
16067,MINIDOKA,ID,318786
16069,NEZ PERCE,ID,2525221
16071,ONEIDA,ID,172347
16073,OWYHEE,ID,144091
16075,PAYETTE,ID,420343
16077,POWER,ID,201247
16079,SHOSHONE,ID,976573
16081,TETON,ID,209046
16083,TWIN FALLS,ID,3828093
16085,VALLEY,ID,453353
16087,WASHINGTON,ID,395117
17001,ADAMS,IL,2826343
17003,ALEXANDER,IL,142713
17005,BOND,IL,374759
17007,BOONE,IL,1233101
17009,BROWN,IL,93804
17011,BUREAU,IL,518879
17013,CALHOUN,IL,130051
17015,CARROLL,IL,220795
17017,CASS,IL,193100
17019,CHAMPAIGN,IL,4322087
17021,CHRISTIAN,IL,1259896
17023,CLARK,IL,643534
17025,CLAY,IL,344279
17027,CLINTON,IL,483890
17029,COLES,IL,1696536
17031,COOK,IL,80964664
17033,CRAWFORD,IL,796723
17035,CUMBERLAND,IL,156770
17037,DEKALB,IL,1826811
17039,DEWITT,IL,391447
17041,DOUGLAS,IL,400117
17043,DUPAGE,IL,17755911
17045,EDGAR,IL,582163
17047,EDWARDS,IL,209830
17049,EFFINGHAM,IL,1312624
17051,FAYETTE,IL,526054
17053,FORD,IL,430567
17055,FRANKLIN,IL,2629813
17057,FULTON,IL,1030677
17059,GALLATIN,IL,107339
17061,GREENE,IL,567803
17063,GRUNDY,IL,1355471
17065,HAMILTON,IL,193274
17067,HANCOCK,IL,277059
17069,HARDIN,IL,398534
17071,HENDERSON,IL,52633
17073,HENRY,IL,857399
17075,IROQUOIS,IL,901196
17077,JACKSON,IL,2475117
17079,JASPER,IL,246826
17081,JEFFERSON,IL,1515763
17083,JERSEY,IL,1130061
17085,JO DAVIESS,IL,406974
17087,JOHNSON,IL,276657
17089,KANE,IL,6718002
17091,KANKAKEE,IL,3467419
17093,KENDALL,IL,1992055
17095,KNOX,IL,1964159
17097,LAKE,IL,13275030
17099,LA SALLE,IL,3540962
17101,LAWRENCE,IL,650316
17103,LEE,IL,664123
17105,LIVINGSTON,IL,1122854
17107,LOGAN,IL,889517
17109,MCDONOUGH,IL,692519
17111,MCHENRY,IL,6488988
17113,MCLEAN,IL,2694241
17115,MACON,IL,3933879
17117,MACOUPIN,IL,1240357
17119,MADISON,IL,11265901
17121,MARION,IL,1452844
17123,MARSHALL,IL,309973
17125,MASON,IL,407696
17127,MASSAC,IL,886600
17129,MENARD,IL,141159
17131,MERCER,IL,180663
17133,MONROE,IL,999830
17135,MONTGOMERY,IL,1082179
17137,MORGAN,IL,1238523
17139,MOULTRIE,IL,238506
17141,OGLE,IL,1015464
17143,PEORIA,IL,5528536
17145,PERRY,IL,877840
17147,PIATT,IL,413744
17149,PIKE,IL,446121
17151,POPE,IL,110869
17153,PULASKI,IL,227003
17155,PUTNAM,IL,82974
17157,RANDOLPH,IL,1239301
17159,RICHLAND,IL,727020
17161,ROCK ISLAND,IL,3102585
17163,SAINT CLAIR,IL,7713372
17165,SALINE,IL,2216326
17167,SANGAMON,IL,6939667
17169,SCHUYLER,IL,180119
17171,SCOTT,IL,13000
17173,SHELBY,IL,276220
17175,STARK,IL,18131
17177,STEPHENSON,IL,1258167
17179,TAZEWELL,IL,4263194
17181,UNION,IL,942276
17183,VERMILION,IL,3779974
17185,WABASH,IL,468810
17187,WARREN,IL,336951
17189,WASHINGTON,IL,244051
17191,WAYNE,IL,554733
17193,WHITE,IL,694346
17195,WHITESIDE,IL,1272694
17197,WILL,IL,13680116
17199,WILLIAMSON,IL,4956479
17201,WINNEBAGO,IL,11347650
17203,WOODFORD,IL,749411
18001,ADAMS,IN,709277
18003,ALLEN,IN,10373443
18005,BARTHOLOMEW,IN,5150215
18007,BENTON,IN,111980
18009,BLACKFORD,IN,1050419
18011,BOONE,IN,2174913
18013,BROWN,IN,368521
18015,CARROLL,IN,371724
18017,CASS,IN,1200047
18019,CLARK,IN,7951726
18021,CLAY,IN,1220221
18023,CLINTON,IN,1526883
18025,CRAWFORD,IN,351689
18027,DAVIESS,IN,2043653
18029,DEARBORN,IN,3014860
18031,DECATUR,IN,1123874
18033,DE KALB,IN,1124376
18035,DELAWARE,IN,7892109
18037,DUBOIS,IN,2135784
18039,ELKHART,IN,5956316
18041,FAYETTE,IN,2411621
18043,FLOYD,IN,6729562
18045,FOUNTAIN,IN,1097609
18047,FRANKLIN,IN,647737
18049,FULTON,IN,1038471
18051,GIBSON,IN,1691291
18053,GRANT,IN,4196901
18055,GREENE,IN,1473933
18057,HAMILTON,IN,7988111
18059,HANCOCK,IN,2661903
18061,HARRISON,IN,1852449
18063,HENDRICKS,IN,5925308
18065,HENRY,IN,3492174
18067,HOWARD,IN,5825813
18069,HUNTINGTON,IN,1472849
18071,JACKSON,IN,2546458
18073,JASPER,IN,1748409
18075,JAY,IN,1249004
18077,JEFFERSON,IN,1770066
18079,JENNINGS,IN,1732146
18081,JOHNSON,IN,7763966
18083,KNOX,IN,3035879
18085,KOSCIUSKO,IN,2573981
18087,LAGRANGE,IN,419847
18089,LAKE,IN,18569524
18091,LA PORTE,IN,4762651
18093,LAWRENCE,IN,3693367
18095,MADISON,IN,10208398
18097,MARION,IN,47104383
18099,MARSHALL,IN,1780087
18101,MARTIN,IN,601030
18103,MIAMI,IN,970644
18105,MONROE,IN,5621674
18107,MONTGOMERY,IN,2069744
18109,MORGAN,IN,4668084
18111,NEWTON,IN,190094
18113,NOBLE,IN,1325273
18115,OHIO,IN,163338
18117,ORANGE,IN,1135873
18119,OWEN,IN,760829
18121,PARKE,IN,390164
18123,PERRY,IN,814484
18125,PIKE,IN,592876
18127,PORTER,IN,6918026
18129,POSEY,IN,1059616
18131,PULASKI,IN,590723
18133,PUTNAM,IN,1482626
18135,RANDOLPH,IN,1011146
18137,RIPLEY,IN,1620230
18139,RUSH,IN,842519
18141,ST JOSEPH,IN,9319477
18143,SCOTT,IN,2811922
18145,SHELBY,IN,1812003
18147,SPENCER,IN,785459
18149,STARKE,IN,1753807
18151,STEUBEN,IN,880459
18153,SULLIVAN,IN,1269274
18155,SWITZERLAND,IN,271657
18157,TIPPECANOE,IN,6063941
18159,TIPTON,IN,421567
18161,UNION,IN,214756
18163,VANDERBURGH,IN,12806725
18165,VERMILLION,IN,743129
18167,VIGO,IN,6067990
18169,WABASH,IN,1647103
18171,WARREN,IN,100
18173,WARRICK,IN,2226384
18175,WASHINGTON,IN,1453676
18177,WAYNE,IN,3835704
18179,WELLS,IN,765927
18181,WHITE,IN,866007
18183,WHITLEY,IN,1237880
19001,ADAIR,IA,197864
19003,ADAMS,IA,76500
19005,ALLAMAKEE,IA,260157
19007,APPANOOSE,IA,501317
19009,AUDUBON,IA,91721
19011,BENTON,IA,365449
19013,BLACK HAWK,IA,3279956
19015,BOONE,IA,847459
19017,BREMER,IA,812884
19019,BUCHANAN,IA,243969
19021,BUENA VISTA,IA,278514
19023,BUTLER,IA,160454
19025,CALHOUN,IA,166564
19027,CARROLL,IA,627061
19029,CASS,IA,410416
19031,CEDAR,IA,171793
19033,CERRO GORDO,IA,1821786
19035,CHEROKEE,IA,189326
19037,CHICKASAW,IA,146490
19039,CLARKE,IA,356167
19041,CLAY,IA,382759
19043,CLAYTON,IA,254140
19045,CLINTON,IA,1428163
19047,CRAWFORD,IA,301954
19049,DALLAS,IA,805084
19051,DAVIS,IA,107416
19053,DECATUR,IA,223923
19055,DELAWARE,IA,197957
19057,DES MOINES,IA,1547871
19059,DICKINSON,IA,370549
19061,DUBUQUE,IA,2145107
19063,EMMET,IA,137459
19065,FAYETTE,IA,554716
19067,FLOYD,IA,273194
19069,FRANKLIN,IA,212117
19071,FREMONT,IA,142757
19073,GREENE,IA,268971
19075,GRUNDY,IA,351866
19077,GUTHRIE,IA,253616
19079,HAMILTON,IA,359917
19081,HANCOCK,IA,143947
19083,HARDIN,IA,482127
19085,HARRISON,IA,474793
19087,HENRY,IA,420983
19089,HOWARD,IA,293114
19091,HUMBOLDT,IA,217500
19093,IDA,IA,200854
19095,IOWA,IA,257794
19097,JACKSON,IA,401660
19099,JASPER,IA,1157473
19101,JEFFERSON,IA,548737
19103,JOHNSON,IA,1736901
19105,JONES,IA,338653
19107,KEOKUK,IA,74771
19109,KOSSUTH,IA,333714
19111,LEE,IA,1624086
19113,LINN,IA,4821858
19115,LOUISA,IA,81299
19117,LUCAS,IA,313524
19119,LYON,IA,192441
19121,MADISON,IA,407814
19123,MAHASKA,IA,709003
19125,MARION,IA,980510
19127,MARSHALL,IA,1164704
19129,MILLS,IA,286636
19131,MITCHELL,IA,117614
19133,MONONA,IA,301599
19135,MONROE,IA,241486
19137,MONTGOMERY,IA,366710
19139,MUSCATINE,IA,1022489
19141,OBRIEN,IA,181874
19143,OSCEOLA,IA,97709
19145,PAGE,IA,583594
19147,PALO ALTO,IA,129521
19149,PLYMOUTH,IA,296347
19151,POCAHONTAS,IA,129304
19153,POLK,IA,18519079
19155,POTTAWATTAMIE,IA,3026641
19157,POWESHIEK,IA,535301
19159,RINGGOLD,IA,137886
19161,SAC,IA,95517
19163,SCOTT,IA,5194300
19165,SHELBY,IA,226883
19167,SIOUX,IA,344100
19169,STORY,IA,1378594
19171,TAMA,IA,224323
19173,TAYLOR,IA,91541
19175,UNION,IA,502954
19177,VAN BUREN,IA,137019
19179,WAPELLO,IA,1341229
19181,WARREN,IA,1164491
19183,WASHINGTON,IA,385827
19185,WAYNE,IA,170974
19187,WEBSTER,IA,1381483
