"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Clarke County, AL"	"01025"	Suppressed	182201	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, AL"	"01027"	Suppressed	97534	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	103768	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	343368	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	381184	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	93020	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	79011	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Covington County, AL"	"01039"	Suppressed	264043	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	97682	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	11	560626	Unreliable	1.0	3.5	0.6	Unreliable	1.0	3.5	0.6	0.0%
	"Dale County, AL"	"01045"	Suppressed	349029	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	306557	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	16	492601	Unreliable	1.9	5.3	0.8	Unreliable	2.0	5.6	0.9	0.0%
	"Elmore County, AL"	"01051"	Suppressed	548794	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Escambia County, AL"	"01053"	31	266098	11.6	7.9	16.5	2.1	11.8	8.0	16.9	2.1	0.0%
	"Etowah County, AL"	"01055"	14	728991	Unreliable	1.0	3.2	0.5	Unreliable	1.2	3.6	0.6	0.0%
	"Fayette County, AL"	"01057"	Suppressed	121547	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	220535	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	186394	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Greene County, AL"	"01063"	Suppressed	64129	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Hale County, AL"	"01065"	Suppressed	111699	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Henry County, AL"	"01067"	Suppressed	120434	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Houston County, AL"	"01069"	19	700574	Unreliable	1.6	4.2	0.6	Unreliable	1.8	4.8	0.7	0.0%
	"Jackson County, AL"	"01071"	Suppressed	373339	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	315	4603413	6.8	6.1	7.6	0.4	6.9	6.2	7.7	0.4	0.2%
	"Lamar County, AL"	"01075"	Suppressed	102339	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	10	644161	Unreliable	0.7	2.9	0.5	Unreliable	0.8	3.1	0.5	0.0%
	"Lawrence County, AL"	"01079"	Suppressed	239126	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, AL"	"01081"	14	965243	Unreliable	0.8	2.4	0.4	Unreliable	0.9	2.7	0.4	0.0%
	"Limestone County, AL"	"01083"	17	565680	Unreliable	1.8	4.8	0.7	Unreliable	1.7	4.8	0.7	0.0%
	"Lowndes County, AL"	"01085"	Suppressed	80699	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, AL"	"01087"	Suppressed	150125	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, AL"	"01089"	34	2297413	1.5	1.0	2.1	0.3	1.5	1.0	2.0	0.3	0.0%
	"Marengo County, AL"	"01091"	Suppressed	147627	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Marion County, AL"	"01093"	Suppressed	214958	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	643060	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	140	2869326	4.9	4.1	5.7	0.4	5.1	4.3	6.0	0.4	0.1%
	"Monroe County, AL"	"01099"	Suppressed	162080	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Montgomery County, AL"	"01101"	16	1601791	Unreliable	0.6	1.6	0.2	Unreliable	0.6	1.6	0.2	0.0%
	"Morgan County, AL"	"01103"	17	828374	Unreliable	1.2	3.3	0.5	Unreliable	1.2	3.4	0.5	0.0%
	"Perry County, AL"	"01105"	Suppressed	74008	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	138382	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pike County, AL"	"01109"	Suppressed	226775	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	159542	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Russell County, AL"	"01113"	Suppressed	370468	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"St. Clair County, AL"	"01115"	28	572756	4.9	3.2	7.1	0.9	4.8	3.2	7.0	0.9	0.0%
	"Shelby County, AL"	"01117"	102	1337536	7.6	6.1	9.1	0.8	7.6	6.1	9.1	0.8	0.1%
	"Sumter County, AL"	"01119"	Suppressed	96281	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Talladega County, AL"	"01121"	14	575343	Unreliable	1.3	4.1	0.7	Unreliable	1.4	4.4	0.7	0.0%
	"Tallapoosa County, AL"	"01123"	Suppressed	290563	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Tuscaloosa County, AL"	"01125"	57	1337081	4.3	3.2	5.5	0.6	4.7	3.5	6.1	0.6	0.0%
	"Walker County, AL"	"01127"	70	471016	14.9	11.6	18.8	1.8	15.7	12.2	19.9	1.9	0.0%
	"Washington County, AL"	"01129"	Suppressed	122219	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	83030	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Winston County, AL"	"01133"	Suppressed	171960	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	21355	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	38666	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Anchorage Borough, AK"	"02020"	197	2014114	9.8	8.4	11.1	0.7	9.2	7.9	10.5	0.7	0.1%
	"Bethel Census Area, AK"	"02050"	Suppressed	119275	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	7221	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	12816	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	34066	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	42	670925	6.3	4.5	8.5	1.0	6.7	4.7	9.2	1.1	0.0%
	"Haines Borough, AK"	"02100"	Suppressed	17183	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	20	219452	9.1	5.6	14.1	2.0	9.0	5.3	14.2	2.1	0.0%
	"Kenai Peninsula Borough, AK"	"02122"	44	382569	11.5	8.4	15.4	1.7	12.4	8.9	16.7	1.9	0.0%
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	94302	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	94813	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	11424	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	82	605865	13.5	10.8	16.8	1.5	13.0	10.3	16.1	1.5	0.1%
	"Nome Census Area, AK"	"02180"	Suppressed	66288	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	63356	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	52906	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	38991	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	62455	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	21978	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	48926	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	67473	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	52455	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	43342	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	4566	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	39568	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Apache County, AZ"	"04001"	16	496997	Unreliable	1.8	5.2	0.8	Unreliable	2.1	6.1	0.9	0.0%
	"Cochise County, AZ"	"04003"	77	911274	8.4	6.7	10.6	1.0	8.9	7.0	11.2	1.0	0.1%
	"Coconino County, AZ"	"04005"	54	929410	5.8	4.4	7.6	0.8	5.8	4.3	7.6	0.8	0.0%
	"Gila County, AZ"	"04007"	39	372676	10.5	7.4	14.3	1.7	12.9	9.0	17.9	2.2	0.0%
	"Graham County, AZ"	"04009"	34	254823	13.3	9.2	18.6	2.3	13.6	9.3	19.0	2.4	0.0%
	"Greenlee County, AZ"	"04011"	Suppressed	59084	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"La Paz County, AZ"	"04012"	15	143478	Unreliable	5.9	17.2	2.7	Unreliable	7.2	23.2	3.7	0.0%
	"Maricopa County, AZ"	"04013"	1989	26569208	7.5	7.2	7.8	0.2	7.6	7.2	7.9	0.2	1.4%
	"Mohave County, AZ"	"04015"	228	1401573	16.3	14.2	18.4	1.1	17.8	15.4	20.3	1.2	0.2%
	"Navajo County, AZ"	"04017"	45	749689	6.0	4.4	8.0	0.9	6.5	4.8	8.8	1.0	0.0%
	"Pima County, AZ"	"04019"	871	6802383	12.8	12.0	13.7	0.4	13.4	12.5	14.3	0.5	0.6%
	"Pinal County, AZ"	"04021"	154	2408770	6.4	5.4	7.4	0.5	6.6	5.5	7.6	0.5	0.1%
	"Santa Cruz County, AZ"	"04023"	14	325190	Unreliable	2.4	7.2	1.2	Unreliable	2.4	7.8	1.3	0.0%
	"Yavapai County, AZ"	"04025"	177	1470796	12.0	10.3	13.8	0.9	13.7	11.6	15.8	1.1	0.1%
	"Yuma County, AZ"	"04027"	15	1352764	Unreliable	0.6	1.8	0.3	Unreliable	0.7	2.0	0.3	0.0%
	"Arkansas County, AR"	"05001"	Suppressed	134431	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashley County, AR"	"05003"	12	153867	Unreliable	4.0	13.6	2.3	Unreliable	4.4	14.8	2.5	0.0%
	"Baxter County, AR"	"05005"	26	289535	9.0	5.9	13.2	1.8	12.5	8.1	18.4	2.5	0.0%
	"Benton County, AR"	"05007"	95	1507823	6.3	5.1	7.7	0.6	6.6	5.3	8.0	0.7	0.1%
	"Boone County, AR"	"05009"	21	257914	8.1	5.0	12.4	1.8	9.2	5.6	14.3	2.0	0.0%
	"Bradley County, AR"	"05011"	Suppressed	81083	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	38120	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Carroll County, AR"	"05015"	15	189862	Unreliable	4.4	13.0	2.0	Unreliable	4.3	13.3	2.1	0.0%
	"Chicot County, AR"	"05017"	Suppressed	83684	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clark County, AR"	"05019"	Suppressed	161224	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, AR"	"05021"	Suppressed	113055	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	180147	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	61137	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	172694	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Conway County, AR"	"05029"	15	147857	Unreliable	5.7	16.7	2.6	Unreliable	5.9	17.5	2.8	0.0%
	"Craighead County, AR"	"05031"	55	664366	8.3	6.2	10.8	1.1	8.8	6.6	11.5	1.2	0.0%
	"Crawford County, AR"	"05033"	63	427702	14.7	11.3	18.8	1.9	15.8	12.1	20.3	2.0	0.0%
	"Crittenden County, AR"	"05035"	15	353874	Unreliable	2.4	7.0	1.1	Unreliable	2.4	7.0	1.1	0.0%
	"Cross County, AR"	"05037"	Suppressed	126202	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	57489	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Desha County, AR"	"05041"	Suppressed	92090	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Drew County, AR"	"05043"	Suppressed	129935	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Faulkner County, AR"	"05045"	46	776179	5.9	4.3	7.9	0.9	6.0	4.4	8.1	0.9	0.0%
	"Franklin County, AR"	"05047"	10	126979	Unreliable	3.8	14.5	2.5	Unreliable	4.0	15.2	2.7	0.0%
	"Fulton County, AR"	"05049"	Suppressed	85945	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Garland County, AR"	"05051"	93	670357	13.9	11.2	17.0	1.4	14.6	11.7	18.0	1.6	0.1%
	"Grant County, AR"	"05053"	Suppressed	124221	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Greene County, AR"	"05055"	24	292369	8.2	5.3	12.2	1.7	8.6	5.5	12.8	1.8	0.0%
	"Hempstead County, AR"	"05057"	Suppressed	158637	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Hot Spring County, AR"	"05059"	10	229611	Unreliable	2.1	8.0	1.4	Unreliable	2.3	8.8	1.5	0.0%
	"Howard County, AR"	"05061"	Suppressed	96478	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Independence County, AR"	"05063"	17	253767	Unreliable	3.9	10.7	1.6	Unreliable	3.8	10.5	1.6	0.0%
	"Izard County, AR"	"05065"	Suppressed	95084	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, AR"	"05067"	Suppressed	125564	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, AR"	"05069"	12	543282	Unreliable	1.1	3.9	0.6	Unreliable	1.2	4.0	0.7	0.0%
	"Johnson County, AR"	"05071"	Suppressed	177498	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lafayette County, AR"	"05073"	Suppressed	53792	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	120880	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, AR"	"05077"	Suppressed	74100	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	99154	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Little River County, AR"	"05081"	Suppressed	91667	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Logan County, AR"	"05083"	17	157201	Unreliable	6.3	17.3	2.6	Unreliable	7.0	19.8	3.0	0.0%
	"Lonoke County, AR"	"05085"	28	468130	6.0	4.0	8.6	1.1	6.1	4.1	8.9	1.2	0.0%
	"Madison County, AR"	"05087"	Suppressed	108939	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Marion County, AR"	"05089"	10	117065	Unreliable	4.1	15.7	2.7	Unreliable	4.5	18.8	3.4	0.0%
	"Miller County, AR"	"05091"	Suppressed	302565	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Mississippi County, AR"	"05093"	11	325735	Unreliable	1.7	6.0	1.0	Unreliable	1.9	6.7	1.1	0.0%
	"Monroe County, AR"	"05095"	Suppressed	58413	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Montgomery County, AR"	"05097"	Suppressed	66238	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Nevada County, AR"	"05099"	Suppressed	63709	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Newton County, AR"	"05101"	Suppressed	58316	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ouachita County, AR"	"05103"	10	182726	Unreliable	2.6	10.1	1.7	Unreliable	3.4	13.2	2.3	0.0%
	"Perry County, AR"	"05105"	Suppressed	72921	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Phillips County, AR"	"05107"	Suppressed	154389	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pike County, AR"	"05109"	Suppressed	78944	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Poinsett County, AR"	"05111"	13	172352	Unreliable	4.0	12.9	2.1	Unreliable	4.4	14.1	2.3	0.0%
	"Polk County, AR"	"05113"	16	143513	Unreliable	6.4	18.1	2.8	Unreliable	8.1	22.9	3.6	0.0%
	"Pope County, AR"	"05115"	19	427282	Unreliable	2.7	6.9	1.0	Unreliable	2.7	7.3	1.1	0.0%
	"Prairie County, AR"	"05117"	Suppressed	61291	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pulaski County, AR"	"05119"	145	2659670	5.5	4.6	6.3	0.5	5.4	4.5	6.3	0.5	0.1%
	"Randolph County, AR"	"05121"	10	126191	Unreliable	3.8	14.6	2.5	Unreliable	4.4	16.7	2.9	0.0%
	"St. Francis County, AR"	"05123"	Suppressed	197422	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Saline County, AR"	"05125"	57	733154	7.8	5.9	10.1	1.0	8.3	6.2	10.7	1.1	0.0%
	"Scott County, AR"	"05127"	Suppressed	78365	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Searcy County, AR"	"05129"	Suppressed	57187	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Sebastian County, AR"	"05131"	74	873491	8.5	6.7	10.6	1.0	8.9	7.0	11.2	1.0	0.1%
	"Sevier County, AR"	"05133"	Suppressed	117566	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Sharp County, AR"	"05135"	Suppressed	121622	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Stone County, AR"	"05137"	Suppressed	86862	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Union County, AR"	"05139"	19	293280	Unreliable	3.9	10.1	1.5	Unreliable	4.2	10.8	1.6	0.0%
	"Van Buren County, AR"	"05141"	Suppressed	120327	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, AR"	"05143"	60	1403834	4.3	3.3	5.5	0.6	4.1	3.1	5.3	0.5	0.0%
